,Open,High,Low,Close,Volume,Dividends,Stock Splits,Volume_MA,Volume_MA_slope,Volume_trend
2020-01-02,2201.2099609375,2202.320068359375,2171.840087890625,2175.169921875,494700,0.0,0.0,546366.6666666666,6773.333333333256,상승
2020-01-03,2192.580078125,2203.3798828125,2165.389892578125,2176.4599609375,631600,0.0,0.0,555133.3333333334,8766.666666666744,상승
2020-01-06,2154.969970703125,2164.419921875,2149.949951171875,2155.070068359375,592700,0.0,0.0,550066.6666666666,-5066.666666666744,하락
2020-01-07,2166.60009765625,2181.6201171875,2164.27001953125,2175.5400390625,568200,0.0,0.0,548973.3333333334,-1093.3333333332557,하락
2020-01-08,2156.27001953125,2162.320068359375,2137.719970703125,2151.31005859375,913800,0.0,0.0,573893.3333333334,24920.0,상승
2020-01-09,2182.199951171875,2186.449951171875,2172.159912109375,2186.449951171875,592600,0.0,0.0,588260.0,14366.666666666628,상승
2020-01-10,2189.47998046875,2206.919921875,2188.10009765625,2206.389892578125,594500,0.0,0.0,587926.6666666666,-333.33333333337214,하락
2020-01-13,2204.489990234375,2230.429931640625,2204.489990234375,2229.260009765625,488300,0.0,0.0,581073.3333333334,-6853.333333333256,하락
2020-01-14,2243.06005859375,2250.7900390625,2232.93994140625,2238.8798828125,835900,0.0,0.0,593926.6666666666,12853.333333333256,상승
2020-01-15,2229.800048828125,2238.2099609375,2223.389892578125,2230.97998046875,746200,0.0,0.0,600560.0,6633.333333333372,상승
2020-01-16,2231.929931640625,2249.090087890625,2225.409912109375,2248.050048828125,808300,0.0,0.0,620980.0,20420.0,상승
2020-01-17,2261.570068359375,2268.7099609375,2245.580078125,2250.570068359375,580800,0.0,0.0,621700.0,720.0,상승
2020-01-20,2261.39990234375,2277.22998046875,2258.090087890625,2262.639892578125,545500,0.0,0.0,619980.0,-1720.0,하락
2020-01-21,2259.81005859375,2266.31005859375,2238.25,2239.68994140625,770300,0.0,0.0,638653.3333333334,18673.333333333372,상승
2020-01-22,2238.530029296875,2269.27001953125,2235.1298828125,2267.25,608500,0.0,0.0,651460.0,12806.666666666628,상승
2020-01-23,2254.5400390625,2260.6298828125,2241.93994140625,2246.1298828125,509600,0.0,0.0,652453.3333333334,993.3333333333721,상승
2020-01-28,2192.219970703125,2199.929931640625,2166.22998046875,2176.719970703125,808500,0.0,0.0,664246.6666666666,11793.333333333256,상승
2020-01-29,2188.179931640625,2195.449951171875,2172.330078125,2185.280029296875,692300,0.0,0.0,670886.6666666666,6640.0,상승
2020-01-30,2181.5400390625,2187.449951171875,2139.719970703125,2148.0,602700,0.0,0.0,673186.6666666666,2300.0,상승
2020-01-31,2160.60009765625,2167.22998046875,2119.010009765625,2119.010009765625,710500,0.0,0.0,659633.3333333334,-13553.333333333256,하락
2020-02-03,2086.610107421875,2126.72998046875,2082.739990234375,2118.8798828125,836700,0.0,0.0,675906.6666666666,16273.333333333256,상승
2020-02-04,2121.219970703125,2162.320068359375,2120.530029296875,2157.89990234375,624600,0.0,0.0,677913.3333333334,2006.6666666667443,상승
2020-02-05,2177.260009765625,2181.52001953125,2154.8798828125,2165.6298828125,574400,0.0,0.0,683653.3333333334,5740.0,상승
2020-02-06,2184.77001953125,2229.989990234375,2182.25,2227.93994140625,695000,0.0,0.0,674260.0,-9393.333333333372,하락
2020-02-07,2221.489990234375,2223.919921875,2198.139892578125,2211.949951171875,800200,0.0,0.0,677860.0,3600.0,상승
2020-02-10,2185.6298828125,2203.389892578125,2180.510009765625,2201.070068359375,609600,0.0,0.0,664613.3333333334,-13246.666666666628,하락
2020-02-11,2213.5,2233.320068359375,2211.25,2223.1201171875,526000,0.0,0.0,660960.0,-3653.333333333372,하락
2020-02-12,2225.949951171875,2242.239990234375,2214.77001953125,2238.3798828125,632500,0.0,0.0,666760.0,5800.0,상승
2020-02-13,2245.719970703125,2255.489990234375,2230.300048828125,2232.9599609375,638700,0.0,0.0,657986.6666666666,-8773.333333333372,하락
2020-02-14,2232.7099609375,2251.5,2221.89990234375,2243.590087890625,597200,0.0,0.0,657233.3333333334,-753.3333333332557,하락
2020-02-17,2243.070068359375,2250.050048828125,2230.260009765625,2242.169921875,458200,0.0,0.0,653806.6666666666,-3426.6666666667443,하락
2020-02-18,2225.97998046875,2232.929931640625,2205.2099609375,2208.8798828125,470400,0.0,0.0,631266.6666666666,-22540.0,하락
2020-02-19,2222.510009765625,2226.0,2191.199951171875,2210.340087890625,590800,0.0,0.0,624500.0,-6766.666666666628,하락
2020-02-20,2223.550048828125,2228.179931640625,2186.719970703125,2195.5,709600,0.0,0.0,631626.6666666666,7126.666666666628,상승
2020-02-21,2165.64990234375,2184.429931640625,2160.280029296875,2162.840087890625,635500,0.0,0.0,626626.6666666666,-5000.0,하락
2020-02-24,2114.0400390625,2120.06005859375,2079.030029296875,2079.0400390625,948600,0.0,0.0,634086.6666666666,7460.0,상승
2020-02-25,2075.550048828125,2105.489990234375,2071.5,2103.610107421875,1565600,0.0,0.0,696820.0,62733.33333333337,상승
2020-02-26,2064.070068359375,2089.639892578125,2059.1298828125,2076.77001953125,810900,0.0,0.0,712586.6666666666,15766.666666666628,상승
2020-02-27,2073.8701171875,2085.39990234375,2049.14990234375,2054.889892578125,562500,0.0,0.0,703753.3333333334,-8833.333333333256,하락
2020-02-28,2020.1700439453125,2031.010009765625,1980.8199462890625,1987.010009765625,671600,0.0,0.0,695180.0,-8573.333333333372,하락
2020-03-02,1997.030029296875,2017.0699462890625,1969.3399658203125,2002.510009765625,528100,0.0,0.0,689746.6666666666,-5433.333333333372,하락
2020-03-03,2051.85009765625,2051.85009765625,2009.3900146484375,2014.1500244140625,615700,0.0,0.0,695726.6666666666,5980.0,상승
2020-03-04,2005.81005859375,2063.590087890625,2005.81005859375,2059.330078125,606300,0.0,0.0,693980.0,-1746.6666666666279,하락
2020-03-05,2078.110107421875,2089.080078125,2059.989990234375,2085.260009765625,675200,0.0,0.0,696413.3333333334,2433.333333333372,상승
2020-03-06,2053.090087890625,2062.570068359375,2032.1300048828125,2040.219970703125,865600,0.0,0.0,714306.6666666666,17893.333333333256,상승
2020-03-09,1981.02001953125,1989.5,1946.9000244140625,1954.77001953125,666900,0.0,0.0,728220.0,13913.333333333372,상승
2020-03-10,1942.8499755859375,1968.1700439453125,1934.719970703125,1962.9300537109375,638600,0.0,0.0,739433.3333333334,11213.333333333372,상승
2020-03-11,1965.6700439453125,1967.699951171875,1898.27001953125,1908.27001953125,679700,0.0,0.0,745360.0,5926.666666666628,상승
2020-03-12,1887.969970703125,1897.22998046875,1808.56005859375,1834.3299560546875,850300,0.0,0.0,754740.0,9380.0,상승
2020-03-13,1722.6800537109375,1809.31005859375,1680.5999755859375,1771.43994140625,1035300,0.0,0.0,781393.3333333334,26653.333333333372,상승
2020-03-16,1805.4300537109375,1805.4300537109375,1714.3800048828125,1714.8599853515625,682000,0.0,0.0,763620.0,-17773.333333333372,하락
2020-03-17,1640.8399658203125,1722.969970703125,1637.8800048828125,1672.43994140625,649800,0.0,0.0,702566.6666666666,-61053.33333333337,하락
2020-03-18,1686.1199951171875,1693.949951171875,1591.1199951171875,1591.199951171875,728000,0.0,0.0,697040.0,-5526.666666666628,하락
2020-03-19,1626.0899658203125,1626.0899658203125,1439.4300537109375,1457.6400146484375,977700,0.0,0.0,724720.0,27680.0,상승
2020-03-20,1498.489990234375,1566.8199462890625,1466.47998046875,1566.1500244140625,817000,0.0,0.0,734413.3333333334,9693.333333333372,상승
2020-03-23,1474.449951171875,1516.75,1458.4100341796875,1482.4599609375,647200,0.0,0.0,742353.3333333334,7940.0,상승
2020-03-24,1523.68994140625,1609.969970703125,1508.6800537109375,1609.969970703125,679300,0.0,0.0,746593.3333333334,4240.0,상승
2020-03-25,1668.18994140625,1707.6400146484375,1645.280029296875,1704.760009765625,872800,0.0,0.0,764360.0,17766.666666666628,상승
2020-03-26,1699.1099853515625,1735.75,1679.22998046875,1686.239990234375,992500,0.0,0.0,785513.3333333334,21153.333333333372,상승
2020-03-27,1756.0699462890625,1759.050048828125,1668.2099609375,1717.72998046875,1077500,0.0,0.0,799640.0,14126.666666666628,상승
2020-03-30,1670.3399658203125,1729.6300048828125,1659.949951171875,1717.1199951171875,767800,0.0,0.0,806366.6666666666,6726.666666666628,상승
2020-03-31,1739.2900390625,1757.81005859375,1722.6199951171875,1754.6400146484375,1037500,0.0,0.0,832960.0,26593.333333333372,상승
2020-04-01,1737.280029296875,1762.43994140625,1685.3699951171875,1685.4599609375,1243600,0.0,0.0,870553.3333333334,37593.33333333337,상승
2020-04-02,1693.530029296875,1726.760009765625,1664.1300048828125,1724.8599853515625,766300,0.0,0.0,864953.3333333334,-5600.0,하락
2020-04-03,1731.1700439453125,1743.9100341796875,1706.6800537109375,1725.43994140625,1000100,0.0,0.0,862606.6666666666,-2346.6666666667443,하락
2020-04-06,1745.25,1794.18994140625,1742.6700439453125,1791.8800048828125,1219400,0.0,0.0,898433.3333333334,35826.666666666744,상승
2020-04-07,1826.719970703125,1838.969970703125,1791.9200439453125,1823.5999755859375,951400,0.0,0.0,918540.0,20106.666666666628,상승
2020-04-08,1815.75,1842.1600341796875,1801.800048828125,1807.1400146484375,907500,0.0,0.0,930506.6666666666,11966.666666666628,상승
2020-04-09,1838.0899658203125,1839.3299560546875,1818.300048828125,1836.2099609375,920600,0.0,0.0,926700.0,-3806.666666666628,하락
2020-04-10,1835.760009765625,1861.0999755859375,1824.4300537109375,1860.699951171875,992500,0.0,0.0,938400.0,11700.0,상승
2020-04-13,1853.300048828125,1853.300048828125,1825.760009765625,1825.760009765625,1017800,0.0,0.0,963106.6666666666,24706.666666666628,상승
2020-04-14,1846.4100341796875,1864.4599609375,1837.1700439453125,1857.0799560546875,886800,0.0,0.0,976940.0,13833.333333333372,상승
2020-04-16,1839.510009765625,1862.22998046875,1828.1300048828125,1857.0699462890625,878300,0.0,0.0,977306.6666666666,366.66666666662786,상승
2020-04-17,1893.31005859375,1926.02001953125,1893.18994140625,1914.530029296875,1667500,0.0,0.0,1022306.6666666666,45000.0,상승
2020-04-20,1908.3399658203125,1925.25,1893.1700439453125,1898.3599853515625,1087500,0.0,0.0,1022973.3333333334,666.6666666667443,상승
2020-04-21,1886.780029296875,1898.3199462890625,1841.6600341796875,1879.3800048828125,1174300,0.0,0.0,1050073.3333333333,27099.999999999884,상승
2020-04-22,1855.510009765625,1897.9000244140625,1844.8499755859375,1896.1500244140625,820400,0.0,0.0,1035600.0,-14473.333333333256,하락
2020-04-23,1907.449951171875,1923.530029296875,1895.97998046875,1914.72998046875,683700,0.0,0.0,998273.3333333334,-37326.66666666663,하락
2020-04-24,1906.0699462890625,1908.2900390625,1880.7099609375,1889.010009765625,933900,0.0,0.0,1009446.6666666666,11173.333333333256,상승
2020-04-27,1897.06005859375,1929.8199462890625,1894.6199951171875,1922.77001953125,735700,0.0,0.0,991820.0,-17626.666666666628,하락
2020-04-28,1931.25,1941.7900390625,1911.6300048828125,1934.0899658203125,1173500,0.0,0.0,988760.0,-3060.0,하락
