,Open_kospi,High_kospi,Low_kospi,Close_kospi,Volume_kospi,Dividends_kospi,Stock Splits_kospi,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Dividends_snp,Stock Splits_snp,kospi_rise,snp_rise
2020-01-03,2192.580078125,2203.3798828125,2165.389892578125,2176.4599609375,631600,0.0,0.0,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000,0.0,0.0,0,1
2020-01-06,2154.969970703125,2164.419921875,2149.949951171875,2155.070068359375,592700,0.0,0.0,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000,0.0,0.0,1,1
2020-01-07,2166.60009765625,2181.6201171875,2164.27001953125,2175.5400390625,568200,0.0,0.0,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3702460000,0.0,0.0,1,1
2020-01-08,2156.27001953125,2162.320068359375,2137.719970703125,2151.31005859375,913800,0.0,0.0,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3435910000,0.0,0.0,0,0
2020-01-09,2182.199951171875,2186.449951171875,2172.159912109375,2186.449951171875,592600,0.0,0.0,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3726840000,0.0,0.0,1,1
2020-01-10,2189.47998046875,2206.919921875,2188.10009765625,2206.389892578125,594500,0.0,0.0,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3641230000,0.0,0.0,1,1
2020-01-13,2204.489990234375,2230.429931640625,2204.489990234375,2229.260009765625,488300,0.0,0.0,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000,0.0,0.0,1,0
2020-01-14,2243.06005859375,2250.7900390625,2232.93994140625,2238.8798828125,835900,0.0,0.0,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3459390000,0.0,0.0,0,1
2020-01-15,2229.800048828125,2238.2099609375,2223.389892578125,2230.97998046875,746200,0.0,0.0,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3687620000,0.0,0.0,1,0
2020-01-16,2231.929931640625,2249.090087890625,2225.409912109375,2248.050048828125,808300,0.0,0.0,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3721490000,0.0,0.0,1,1
2020-01-17,2261.570068359375,2268.7099609375,2245.580078125,2250.570068359375,580800,0.0,0.0,3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3540580000,0.0,0.0,0,1
2020-01-20,2261.39990234375,2277.22998046875,2258.090087890625,2262.639892578125,545500,0.0,0.0,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000,0.0,0.0,1,1
2020-01-22,2238.530029296875,2269.27001953125,2235.1298828125,2267.25,608500,0.0,0.0,3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,4104840000,0.0,0.0,1,0
2020-01-23,2254.5400390625,2260.6298828125,2241.93994140625,2246.1298828125,509600,0.0,0.0,3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3623780000,0.0,0.0,0,0
2020-01-28,2192.219970703125,2199.929931640625,2166.22998046875,2176.719970703125,808500,0.0,0.0,3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3831050000,0.0,0.0,0,0
2020-01-29,2188.179931640625,2195.449951171875,2172.330078125,2185.280029296875,692300,0.0,0.0,3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3531570000,0.0,0.0,0,1
2020-01-30,2181.5400390625,2187.449951171875,2139.719970703125,2148.0,602700,0.0,0.0,3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3600250000,0.0,0.0,0,0
2020-01-31,2160.60009765625,2167.22998046875,2119.010009765625,2119.010009765625,710500,0.0,0.0,3256.449951171875,3285.909912109375,3242.800048828125,3283.659912109375,3790350000,0.0,0.0,0,1
2020-02-03,2086.610107421875,2126.72998046875,2082.739990234375,2118.8798828125,836700,0.0,0.0,3282.330078125,3282.330078125,3214.679931640625,3225.52001953125,4529700000,0.0,0.0,1,0
2020-02-04,2121.219970703125,2162.320068359375,2120.530029296875,2157.89990234375,624600,0.0,0.0,3235.659912109375,3268.43994140625,3235.659912109375,3248.919921875,3760460000,0.0,0.0,1,1
2020-02-05,2177.260009765625,2181.52001953125,2154.8798828125,2165.6298828125,574400,0.0,0.0,3280.610107421875,3306.919921875,3280.610107421875,3297.590087890625,3996900000,0.0,0.0,0,1
2020-02-06,2184.77001953125,2229.989990234375,2182.25,2227.93994140625,695000,0.0,0.0,3324.909912109375,3337.580078125,3313.75,3334.68994140625,4121480000,0.0,0.0,1,1
2020-02-07,2221.489990234375,2223.919921875,2198.139892578125,2211.949951171875,800200,0.0,0.0,3344.919921875,3347.9599609375,3334.389892578125,3345.780029296875,3887250000,0.0,0.0,0,1
2020-02-10,2185.6298828125,2203.389892578125,2180.510009765625,2201.070068359375,609600,0.0,0.0,3335.5400390625,3341.419921875,3322.1201171875,3327.7099609375,3733920000,0.0,0.0,1,0
2020-02-11,2213.5,2233.320068359375,2211.25,2223.1201171875,526000,0.0,0.0,3318.280029296875,3352.260009765625,3317.77001953125,3352.090087890625,3462730000,0.0,0.0,1,1
2020-02-12,2225.949951171875,2242.239990234375,2214.77001953125,2238.3798828125,632500,0.0,0.0,3365.8701171875,3375.6298828125,3352.719970703125,3357.75,3762940000,0.0,0.0,1,0
2020-02-13,2245.719970703125,2255.489990234375,2230.300048828125,2232.9599609375,638700,0.0,0.0,3370.5,3381.469970703125,3369.719970703125,3379.449951171875,3930910000,0.0,0.0,0,1
2020-02-14,2232.7099609375,2251.5,2221.89990234375,2243.590087890625,597200,0.0,0.0,3365.89990234375,3385.090087890625,3360.52001953125,3373.93994140625,3500890000,0.0,0.0,1,1
2020-02-17,2243.070068359375,2250.050048828125,2230.260009765625,2242.169921875,458200,0.0,0.0,3378.080078125,3380.68994140625,3366.14990234375,3380.159912109375,3419700000,0.0,0.0,0,1
2020-02-19,2222.510009765625,2226.0,2191.199951171875,2210.340087890625,590800,0.0,0.0,3369.0400390625,3375.010009765625,3355.610107421875,3370.2900390625,3750400000,0.0,0.0,0,1
